,県名,料理名,説明
0,北海道,豚丼,明治時代末ごろから十勝地方では養豚業がはじまり、豚肉が食べ親しまれてきた。養豚業が盛んであった十勝地方の帯広市が「豚丼」発祥の地といわれている。厚切りの豚肉を砂糖醤油で味付けしたタレでからめ、ごはんの上にのせた「豚丼」は帯広市の名物料理となっている。 昭和初期に帯広市内の食堂で、炭火焼きした豚肉にうなぎの蒲焼き風のタレを使用した丼をつくったのが「豚丼」の発祥といわれている。当初は、農家や開拓者が汗を流し働く姿を見て、スタミナ料理を提供したいと思い、食材にうなぎを使おうと考えたものの、うなぎは高価で手に入りにくかった。そこで目を付けたのが、豚肉だった。当時は、十勝地方では養豚業が盛んにおこなわれていたこともあって、豚肉は身近で手に入りやすかったという。こうして帯広の地で誕生した「豚丼」は、いまでは全国でも知られるほど有名となった。
1,北海道,鮭のチャンチャン焼き,「鮭のチャンチャン焼き」は、秋から冬にかけてとれるサケと旬の野菜を蒸し焼きにして味噌で味付けした料理。石狩地方の漁師町が発祥といわれているが、いまでは全国的にも有名となり、平成19年（2007年）には「石狩鍋」、「ジンギスカン」とともに、「農山漁村の郷土料理百選（農林水産省主催）」に選ばれている。 「チャンチャン焼き」の名前の由来は諸説あり、“ちゃっちゃとくつくれるから”、“お父ちゃんがつくるから”、“焼くときに鉄板とヘラがチャンチャンという音を立てるから”、など、さまざまな由来が伝えられている。石狩市では、昭和初期ごろに船上で漁師たちが釣ったサケをドラム缶からつくった鉄板で焼いて食べたのが発祥と伝わっている。 北海道のサケの歴史は古く、その昔、アイヌの人々が貴重な食料源として捕獲していた。いまでもサケの漁獲量は国内トップを誇り、北海道ではサケを使った郷土料理が多く存在する。
2,北海道,いももち／いもだんご,「いももち」は、北海道を代表する農産物のじゃがいもを使い、家庭で手軽につくれる郷土料理として浸透している。地域によっては、「いもだんご」とも呼ばれている。北海道以外にも岐阜県、高知県、和歌山県などにも「いももち」が存在するが、地域によって使用する芋の種類やつくり方は異なる。 「いももち」の発祥は、まだ稲作の生産技術が発達していない時代に餅をつくる際、もち米の代わりに当時豊富に生産されていたじゃがいもを使ったことがはじまりといわれている。じゃがいも以外にも、かぼちゃを使うこともあり、いまでも「かぼちゃもち」として伝わっている。 明治の開拓時代、「いももち」は開拓者たちの貴重なエネルギー源として重宝された。その調理の手軽さから庶民的な料理として広まっていった。戦時中や戦後の食糧難の時代にも食べられ、現在は北海道の定番おやつとして、大人から子どもまで広い世代に親しまれる。
3,北海道,ニシン漬け,「ニシン漬け」は、北海道のニシン産業の歴史を伝える郷土料理である。江戸時代後期から明治時代にかけて、北海道の特に日本海側ではニシン漁業が隆盛を極めた。春になると、ニシンの大群が産卵のため沿岸に押し寄せると海が真っ白に染まる「群来（くき）」がみられるほどであった。ニシンの漁獲量は明治時代にピークを迎え、一時期、100万トン近くの水揚げ量があったが、昭和30年代ごろから、群来は急激に減り、ニシンはほとんどとれなくなった。現在は、厚岸湖（あっけしこ）などの湖沼とその周辺に定着しているニシンをとることが多いが、その漁獲量は全盛期には到底およばない。 「ニシン漬け」は、ニシン漁が隆盛を極めた時代から家庭でつくられていた郷土料理。当時は寒い冬を越すための食糧を貯蔵することが重要であったため、その一つの保存方法として漬物が用いられていた。冬が訪れる前に干物に加工した身欠ニシンと野菜を一緒に漬け込んだものが「ニシン漬け」として定着したといわれている。ニシンの漁獲量こそ減少してしまったが、現在でも北海道の冬の家庭料理として根づいている。
4,北海道,石狩鍋,「石狩鍋」は、北海道を代表する郷土料理である。その名の通り、サケで有名な石狩川の河口にある石狩町から生まれた漁師料理とされる。石狩地方では、江戸時代からサケ漁が盛んにおこなわれていた。大漁を祝う際、漁師たちはとれたてのサケのぶつ切りやあらをそのまま味噌汁が入った鍋に入れ、ご褒美として食べていたといわれている。 昭和20年代ごろには、石狩市のサケの地びき網漁が“北海道の水産業の象徴”として注目されると、その漁見たさに多くの観光客が集まった。地びき網漁は網を海に入れてから引き上げるまで時間があるため、その時間を待つ観光客に「石狩鍋」を振る舞ったところ、美味しいと評判になり、全国的に知られるようになったといわれている。
5,北海道,いかめし,函館地方や渡島（おしま）地方の有名な郷土料理。「いかめし」は、第二次世界大戦中、食料統制における米不足が深刻化されるなか、函館本線森駅の駅弁として考案されたのがはじまりといわれている。「少しでも米を節約できる料理」と使った食材は、当時、道南地域で大量に水揚げされていたこともあって手に入りやすいイカだった。 イカに米を詰め込んで炊き上げた「いかめし」は、手軽に食べられるうえに、お腹にたまり美味しいと評判を呼び、いまでも列車が到着するたびに多くの人たちが購入する人気駅弁となった。
6,北海道,ラーメン,明治17年（1884年）、函館市で店を構える洋食店で提供された「南京そば」というメニューが「日本ではじめてのラーメン」だったという説があるが、詳しい資料などが残っておらず、定かではない。 戦後になると、気温の低い北海道では「ラーメン」が食生活のなかに急速に浸透していく。札幌の「味噌ラーメン」、函館の「塩ラーメン」、旭川の「醤油ラーメン」など、地域ごとの風土に合わせた特徴のあるご当地ラーメンが生まれた。その後も道内ではラーメン店舗が増え、各店舗が味を競い合い独自の進化を遂げてきた。 北海道の「ラーメン」は、油分が多い濃厚な豚骨をベースにすることが多いが、これには、アイヌの人たちが昔から食していた白濁の豚骨スープが受け継がれているという説がある。麺に関しては、自家製麺より製麺所でつくった麺を使用している店舗が多い。そのため店舗と製麺所の関係は深く、店舗が使う麺をつくっている製麺所から暖簾が贈られるという独特の習慣もある。
7,北海道,赤飯,全国でもハレの日によく食べられる「赤飯」。北海道では甘納豆を入れた「赤飯」を食べる、独特の食文化がある。北海道以外の地域では小豆を入れて炊き、ごま塩で味付けされるため甘みはないが、甘納豆を使う北海道の「赤飯」は甘い。甘納豆の「赤飯」は、由来は諸説あるが、昭和20年代後半ごろに、札幌にある学校法人光塩学園の創設者で初代学長の南部明子先生により「忙しいお母さんが手軽につくることができるように」と考案されたといわれている。自身も働く母であったため、「手間のかかる小豆の赤飯を炊くのは大変だが、子どもたちが喜ぶものを食べさせてあげたい」という想いから、米を炊いて甘納豆を混ぜ、食紅で色をつけるだけという簡単な調理法を確立した。北海道の郷土料理の第一人者でもある南部先生は、全道各地で講演をおこなっていた。その際に、地方のお母さんたちに甘納豆を使った「赤飯」のつくり方を教えたところ、子どもたちが大喜びし、またたく間に人気を博したという。その後、新聞やラジオなどのメディアで紹介されるようになり、一気に道内に広まっていった。
8,北海道,昆布巻き,全国トップクラスの昆布の生産量を誇る北海道では、サケやニシンなどの魚を昆布で巻いた「昆布巻き」が根づいている。「昆布巻き」には、日高地方でとれる繊維質が少なく柔らかい日高昆布を使用することが多い。現在では全国でもつくられており、正月のおせち料理で食されることが多い。 北海道は全国の生産量の90%を占める日本を代表する昆布の生産地。昆布の歴史は古く、延暦16年（797年）の『続日本記』のなかで、既に昆布の記述があるほど。鎌倉時代には松前地域と本州の間を昆布を運ぶ交易船が行き交うようになり、室町時代に入ると、越前国（現福井県）の敦賀まで昆布が運ばれ、京都・大阪へと渡った。その後、江戸時代に昆布漁が盛んになると、消費量も増え、日本海まわりの関西航路「北前船」の主要な輸送物となった。そして同時期に漁獲量が高かったニシンや、北海道の名産であるサケと合わせた「昆布巻き」がつくられ、北海道の郷土料理となった。
9,北海道,美唄のとりめし,美唄市の郷土料理としていまも家庭で親しまれている「美唄のとりめし」。その発祥は北海道の開拓が本格的に推進された明治時代にあるといわれている。当時、現在の美唄市中村地区に入植した農場主の中村豊次郎が、稲作が軌道にのるまでの期間、小作人たちの家計と健康を気遣い、つがいの鶏を与え養鶏を奨励した。その後、米がとれるようになると、客をもてなすために飼っている鶏をつぶし、米と一緒に炊き込んだ「とりめし」で振る舞ったといわれている。現在も、中村地区では伝統を受け継ぎ、地元の女性たちが昔ながらの「とりめし」をつくっており、「中村のとりめし」とも呼ばれている。
