,県名,料理名,説明
0,北海道,豚丼,明治時代末ごろから十勝地方では養豚業がはじまり、豚肉が食べ親しまれてきた。養豚...
1,北海道,鮭のチャンチャン焼き,「鮭のチャンチャン焼き」は、秋から冬にかけてとれるサケと旬の野菜を蒸し焼きにし...
2,北海道,いももち／いもだんご,「いももち」は、北海道を代表する農産物のじゃがいもを使い、家庭で手軽につくれる...
3,北海道,ニシン漬け,「ニシン漬け」は、北海道のニシン産業の歴史を伝える郷土料理である。江戸時代後期...
4,北海道,石狩鍋,「石狩鍋」は、北海道を代表する郷土料理である。その名の通り、サケで有名な石狩川...
5,北海道,いかめし,函館地方や渡島（おしま）地方の有名な郷土料理。「いかめし」は、第二次世界大戦中...
6,北海道,ラーメン,明治17年（1884年）、函館市で店を構える洋食店で提供された「南京そば」とい...
7,北海道,赤飯,全国でもハレの日によく食べられる「赤飯」。北海道では甘納豆を入れて「赤飯」を炊...
8,北海道,昆布巻き,全国トップクラスの昆布の生産量を誇る北海道では、サケやニシンなどの魚を昆布で巻...
9,北海道,美唄のとりめし,美唄市の郷土料理としていまも家庭で親しまれている「美唄のとりめし」。その発祥は...
10,北海道,美唄やきとり,札幌市と旭川市の中間に位置する美唄市。西部地域は石狩平野に属する低地帯であり、...
11,北海道,室蘭やきとり,「室蘭やきとり」は、その名の通り、北海道室蘭市で考案された「やきとり」である。...
12,北海道,鯨汁,「鯨汁」は道南地域の正月料理で欠かせない料理。正月が近づくと、大鍋に塩くじらと...
13,北海道,ルイベ,「ルイベ」はサケやマスなどの魚を冷凍させてから、解凍させないまま刺身にして食べ...
14,北海道,ニシン蕎麦,「ニシン蕎麦」は、ニシンの干物「身欠きニシン」を甘露煮にし、そばにのせた北海道...
15,北海道,ザンギ,北海道では鶏の唐揚げのことを「ザンギ」と呼ぶ。「ザンギ」は一般的な鶏の唐揚と比...
16,北海道,ししゃもの甘露煮,「ししゃもの甘露煮」は、北海道を代表する魚の一つシシャモを使った郷土料理。シシ...
17,北海道,カスベの煮付け,「カスベの煮付け」は、家庭で頻繁につくられている冬の郷土料理。「カスベ」は、北...
18,北海道,トキシラズ／トキ鮭の焼漬け,秋から初冬ごろにかけて、産卵のために北海道沿岸に遡上してくるサケを「秋サケ」と...
19,北海道,いくらの醤油漬け,北海道を代表する海産物のいくらは、全国でも広く知られ、子どもから大人まで幅広い...
20,北海道,たちの味噌汁／スケソウダラの白子の味噌汁,北海道では、タラの白子のことを「たち」と呼び、マダラの白子を「真だち」、スケソ...
21,北海道,べこ餅,北海道民に昔から親しまれてきた「べこ餅」は、主に白と黒の2色が配された木の葉形...
22,北海道,飯寿司,「飯寿司」は、魚と野菜を米麹に漬けて、乳酸発酵させたすし。低温発酵によってつく...
23,北海道,松前漬,「松前漬」は、乾燥させたスルメイカと昆布を細切りにし、醤油、酒、みりん、砂糖な...
24,北海道,てっぽう汁,北海道の特に道東地域では、カニを入れた味噌汁のことを「てっぽう汁」と呼ぶ。「て...
25,北海道,三平汁,「三平汁」は、塩漬けにしたサケやニシンなどの魚と人参や大根などの野菜を一緒に煮...
26,北海道,ジンギスカン／成吉思汗,大正時代、第一次世界大戦の勃発により、羊毛の輸入が困難になると、国策として、綿...
27,青森県,けいらん,秋が深まり稲刈りが終わり、農作業が一段落する11月には「秋仕舞い」の風習がある...
28,青森県,けの汁,津軽地方の代表的な郷土料理。由来については津軽の方言で「粥（かゆ）」を「け」...
29,青森県,せんべい汁,南部せんべいは旧南部藩の領地だった青森県南東部から岩手県北部にかけての伝統食...
30,青森県,貝焼き味噌,古くからホタテ産地として知られた津軽湾周辺では、江戸時代からすでに「貝焼き味...
31,青森県,鱈のじゃっぱ汁,「じゃっぱ」は津軽の方言で雑把（ざっぱ）、つまり「捨てるもの」という意味。普...
32,青森県,べこもち,端午の節句のハレ食として受け継がれ、現在はおやつとしても食べられている。べこ...
33,青森県,豆しとぎ,煮て潰した青大豆に米粉と砂糖を入れて練った生菓子。「しとぎ」は米をつぶして粉...
34,青森県,いちご煮,八戸市や階上町などの太平洋沿岸に伝わる郷土料理で、ウニとアワビの吸い物という...
35,青森県,きんかもち,古来やませによる稲作の冷害に悩まされた南部地方では、小麦、あわ、ひえ、蕎麦な...
36,青森県,たらの子和え,昔から青森県の正月にタラは欠かせない。昭和20年頃までは、年の瀬に大きなタラの...
37,青森県,なすの赤しそ巻き,津軽地方の夏の日常食。夏場に大量に採れるなすとしその葉を組み合わせ、昔から家...
38,青森県,煮あえっこ,「煮あえっこ」は下北地方の郷土料理。やませの影響で冷害被害が多く稲作が難しか...
39,青森県,ねりこみ,その昔、弘前禅林三十三カ寺の和尚が托鉢（たくはつ）をして集めた野菜を「くず寄...
40,青森県,ひっつみ,旧南部藩の領地だった青森県南東部から岩手県北中部にかけて伝わる郷土料理。寒冷...
41,青森県,干し餅,昔から寒くて湿気の少ない気候を生かして極寒期につくられる保存食で、「凍り餅」...
42,青森県,ミズとホヤの水物,津軽地方の短い夏に、貴重な旬を味わう郷土料理で「ホヤミズ」ともよばれる。地元...
43,青森県,鮭の飯ずし,冬の間雪に閉ざされる津軽地方は、作物や魚介をとれる時期にできるだけとって、干...
44,青森県,イカメンチ,津軽地方に伝わる家庭料理で、イカを刺身にしたときに残る「ゲソ」を叩いてミンチ...
45,青森県,いなりずし,津軽平野は、雪国の中では比較的気候が温和で、縄文晩期から稲作がおこなわれてい...
46,青森県,かっけ,寒冷で、江戸時代には数年間に及ぶ大飢饉にたびたび見舞われた南部地方で、人々は...
47,青森県,がっぱらもち,昔、家庭でアイロンがけをする際、パリッとさせるために布に塗ったのが「米糊」で...
48,青森県,ごまご飯,江戸時代のはじめから大規模に新田開発がなされ、多彩な米料理が発達した津軽地方...
49,青森県,じゅね餅,古来、冷害や飢饉に見舞われることの多かった南部地方では、米以外の雑穀で食文化...
50,青森県,しょうが味噌おでん,青森市周辺では、おでんをすりおろしたしょうが入りの味噌だれで食べるのが普通で...
51,青森県,すしこ,津軽地方の中でも主に日本海側の西北地域で特にに食べられてきた郷土料理。もち米...
52,青森県,赤かぶの千枚漬け,津軽地方の伝統的な漬物。雪が降る直前に収穫された赤かぶを、出汁昆布、酢、ザラ...
53,青森県,キャベツとマスの漬物,津軽地方の中でも内陸部の中南津軽は、昔は新鮮な海産物が入手しにくく特に魚類は...
54,青森県,鮫のすくめ,「すくめ」の語源は「酢で包む」。津軽地方で「すぐめ」と発音する。津軽地方では...
55,青森県,くじら汁,かつて八戸市に捕鯨基地があったことから、近隣ではクジラの食文化が発達した。「...
